"country","customer_id","invoice_number","invoice_generated_date","invoice_due_date","invoice_amount","invoice_settled_date","days_to_settle","days_late","invoice_status","invoice_dispute_resolution"
China,"0379-NEVHP",611365,2021-01-02,2021-02-01,5594,2021-01-15,13,0,Accepted,In favor of Yellevate
France,"2621-XCLEH",6482427308,2020-01-13,2020-02-12,8099,2020-03-14,61,31,Disputed,In favor of Yellevate
China,"2820-XGXSB",9231909,2021-07-03,2021-08-02,6588,2021-07-08,5,0,Accepted,In favor of Yellevate
France,"9322-YCTQO",9888306,2021-02-10,2021-03-12,10592,2021-03-17,35,5,Accepted,In favor of Yellevate
Russia,"6627-ELFBK",15752855,2020-10-25,2020-11-24,7227,2020-11-28,34,4,Disputed,In favor of Yellevate
Russia,"5148-SYKLB",18104516,2020-01-27,2020-02-26,9400,2020-02-22,26,0,Disputed,In favor of Yellevate
Spain,"8690-EEBEO",23864272,2021-08-13,2021-09-12,7469,2021-09-09,27,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",27545037,2020-12-16,2021-01-15,7506,2021-01-12,27,0,Accepted,In favor of Yellevate
United States,"3831-FXWYK",28049695,2020-05-14,2020-06-13,8007,2020-07-01,48,18,Disputed,In favor of Yellevate
Spain,"7654-DOLHO",32277701,2021-07-01,2021-07-31,4833,2021-07-26,25,0,Accepted,In favor of Yellevate
United States,"3993-QUNVJ",35868002,2020-03-31,2020-04-30,7533,2020-04-16,16,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",36478577,2021-08-07,2021-09-06,7335,2021-08-15,8,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",36620839,2021-05-08,2021-06-07,9008,2021-06-09,32,2,Disputed,In favor of Yellevate
France,"9117-LYRCE",41324194,2020-10-21,2020-11-20,5717,2020-11-30,40,10,Accepted,In favor of Yellevate
Russia,"7695-NKUXM",42511106,2020-11-07,2020-12-07,5002,2020-11-18,11,0,Accepted,In favor of Yellevate
China,"8820-BLYDZ",46372811,2021-02-21,2021-03-23,6196,2021-02-28,7,0,Accepted,In favor of Yellevate
France,"8976-AMJEO",46937392,2021-05-16,2021-06-15,6988,2021-06-04,19,0,Accepted,In favor of Yellevate
Russia,"5148-SYKLB",49331333,2021-05-29,2021-06-28,6880,2021-07-10,42,12,Disputed,In favor of Yellevate
Russia,"3568-JJMFW",52765186,2021-10-20,2021-11-19,9623,2021-11-09,20,0,Disputed,In favor of Yellevate
Russia,"5613-UHVMG",55416013,2020-11-30,2020-12-30,4201,2021-01-16,47,17,Disputed,In favor of Yellevate
France,"6833-ETVHD",57081728,2020-11-04,2020-12-04,8665,2020-11-29,25,0,Accepted,In favor of Yellevate
United States,"7758-WKLVM",57781566,2020-06-24,2020-07-24,7149,2020-08-07,44,14,Accepted,In favor of Yellevate
Russia,"6004-KITZM",58393139,2021-01-06,2021-02-05,8816,2021-01-29,23,0,Accepted,In favor of Yellevate
China,"9841-XLGBV",72380981,2021-02-16,2021-03-18,2644,2021-03-06,18,0,Accepted,In favor of Yellevate
Spain,"8690-EEBEO",75181247,2020-02-18,2020-03-19,8333,2020-03-30,41,11,Accepted,In favor of Yellevate
China,"8156-PCYBM",81932735,2020-01-24,2020-02-23,7270,2020-03-03,39,9,Accepted,In favor of Yellevate
Russia,"7946-HJDUR",86171934,2021-05-29,2021-06-28,4169,2021-06-22,24,0,Accepted,In favor of Yellevate
United States,"3831-FXWYK",93006859,2020-12-24,2021-01-23,2446,2021-01-31,38,8,Accepted,In favor of Yellevate
France,"3448-OWJOT",1297791719,2020-01-15,2020-02-14,4864,2020-02-16,32,2,Disputed,In favor of Yellevate
Russia,"8887-NCUZC",101415601,2020-05-31,2020-06-30,4007,2020-07-04,34,4,Accepted,In favor of Yellevate
Spain,"9286-VLKMI",101747306,2021-05-27,2021-06-26,5819,2021-05-29,2,0,Accepted,In favor of Yellevate
France,"6833-ETVHD",103483331,2020-07-27,2020-08-26,7213,2020-08-18,22,0,Accepted,In favor of Yellevate
China,"6160-HCSFI",104628267,2020-01-13,2020-02-12,7272,2020-02-04,22,0,Accepted,In favor of Yellevate
China,"1080-NDGAE",106360977,2020-02-19,2020-03-20,9348,2020-03-26,36,6,Disputed,In favor of Yellevate
Spain,"6296-UKEUZ",106486147,2021-09-21,2021-10-21,4655,2021-09-25,4,0,Accepted,In favor of Yellevate
United States,"6831-FIODB",110122785,2020-10-23,2020-11-22,3258,2020-11-30,38,8,Accepted,In favor of Yellevate
Spain,"6296-UKEUZ",120364375,2021-04-23,2021-05-23,3463,2021-04-24,1,0,Accepted,In favor of Yellevate
Russia,"5148-SYKLB",121797094,2020-09-28,2020-10-28,8915,2020-10-30,32,2,Accepted,In favor of Yellevate
China,"0379-NEVHP",122662308,2021-08-05,2021-09-04,4364,2021-08-21,16,0,Accepted,In favor of Yellevate
United States,"7758-WKLVM",123645023,2020-12-22,2021-01-21,4436,2021-01-24,33,3,Accepted,In favor of Yellevate
United States,"3993-QUNVJ",131216793,2021-02-01,2021-03-03,5665,2021-02-05,4,0,Accepted,In favor of Yellevate
China,"9174-IYKOC",135429278,2020-08-02,2020-09-01,5820,2020-08-24,22,0,Accepted,In favor of Yellevate
China,"2676-DZINU",145315244,2021-08-19,2021-09-18,8305,2021-09-06,18,0,Accepted,In favor of Yellevate
China,"9014-WENVB",152050637,2021-02-13,2021-03-15,6003,2021-03-11,26,0,Accepted,In favor of Yellevate
France,"6833-ETVHD",152808559,2020-09-11,2020-10-11,5901,2020-09-29,18,0,Accepted,In favor of Yellevate
France,"1447-YZKCL",173814675,2021-04-27,2021-05-27,6685,2021-05-27,30,0,Accepted,In favor of Yellevate
Russia,"8364-UWVLM",176356154,2020-08-20,2020-09-19,7883,2020-10-03,44,14,Disputed,In favor of Yellevate
United States,"9323-NDIOV",176953642,2021-09-10,2021-10-10,6500,2021-10-17,37,7,Accepted,In favor of Yellevate
China,"5920-DPXLN",176959210,2020-08-30,2020-09-29,5718,2020-09-19,20,0,Accepted,In favor of Yellevate
China,"6708-DPYTF",180192586,2020-08-02,2020-09-01,7465,2020-09-18,47,17,Accepted,In favor of Yellevate
China,"9014-WENVB",186123387,2020-06-09,2020-07-09,5985,2020-07-08,29,0,Accepted,In favor of Yellevate
France,"9771-QTLGZ",1920990033,2020-01-20,2020-02-19,5651,2020-02-15,26,0,Disputed,In favor of Yellevate
China,"2125-HJDLA",189882917,2020-09-03,2020-10-03,5144,2020-10-17,44,14,Accepted,In favor of Yellevate
United States,"5592-UQXSS",190687025,2021-07-15,2021-08-14,2843,2021-08-02,18,0,Accepted,In favor of Yellevate
France,"5573-KSOIA",9247964767,2020-01-26,2020-02-25,9851,2020-03-15,49,19,Disputed,In favor of Customer
Spain,"6177-VTITE",195359114,2020-08-29,2020-09-28,5626,2020-09-21,23,0,Disputed,In favor of Customer
China,"5529-TBPGK",202519703,2021-02-10,2021-03-12,7726,2021-03-13,31,1,Accepted,In favor of Yellevate
France,"4640-FGEJI",203036054,2020-09-23,2020-10-23,6460,2020-10-15,22,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",204757285,2020-01-13,2020-02-12,5444,2020-01-27,14,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",206372278,2021-08-14,2021-09-13,4904,2021-09-21,38,8,Accepted,In favor of Yellevate
France,"3448-OWJOT",5267406931,2020-01-30,2020-02-29,8522,2020-03-11,41,11,Disputed,In favor of Yellevate
China,"8820-BLYDZ",213324193,2020-10-13,2020-11-12,6612,2020-10-22,9,0,Accepted,In favor of Yellevate
China,"9174-IYKOC",217272343,2021-09-22,2021-10-22,4988,2021-10-23,31,1,Disputed,In favor of Yellevate
China,"3569-VJWXS",218034886,2021-02-01,2021-03-03,3864,2021-03-05,32,2,Accepted,In favor of Yellevate
United States,"7050-KQLDO",222477564,2020-03-08,2020-04-07,6570,2020-04-09,32,2,Disputed,In favor of Yellevate
Russia,"5924-UOPGH",232048622,2020-03-14,2020-04-13,6760,2020-04-11,28,0,Accepted,In favor of Yellevate
China,"9174-IYKOC",237437528,2020-12-09,2021-01-08,3569,2021-01-15,37,7,Disputed,In favor of Yellevate
China,"1080-NDGAE",246081324,2020-09-06,2020-10-06,9253,2020-10-13,37,7,Disputed,In favor of Yellevate
Spain,"9286-VLKMI",254550541,2020-12-28,2021-01-27,6159,2021-01-08,11,0,Accepted,In favor of Yellevate
France,"4640-FGEJI",261246477,2021-10-20,2021-11-19,9447,2021-11-05,16,0,Accepted,In favor of Yellevate
China,"9174-IYKOC",263678657,2020-09-10,2020-10-10,3800,2020-10-11,31,1,Accepted,In favor of Yellevate
China,"8156-PCYBM",270702396,2020-10-31,2020-11-30,5024,2020-11-25,25,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",273425635,2020-02-07,2020-03-08,11376,2020-03-19,41,11,Disputed,In favor of Yellevate
France,"4092-ZAVRG",274057720,2020-05-07,2020-06-06,5096,2020-05-13,6,0,Accepted,In favor of Yellevate
United States,"9928-IJYBQ",277331044,2020-11-02,2020-12-02,7325,2020-11-26,24,0,Accepted,In favor of Yellevate
United States,"3993-QUNVJ",280670965,2020-01-03,2020-02-02,5039,2020-01-23,20,0,Accepted,In favor of Yellevate
China,"0379-NEVHP",281287578,2020-10-28,2020-11-27,7681,2020-11-19,22,0,Accepted,In favor of Yellevate
Spain,"6177-VTITE",282342168,2020-02-06,2020-03-07,6328,2020-02-20,14,0,Accepted,In favor of Yellevate
France,"9725-EZTEJ",6864971541,2020-02-02,2020-03-03,7382,2020-02-28,26,0,Disputed,In favor of Yellevate
Spain,"1408-OQZUE",285510254,2020-04-05,2020-05-05,2705,2020-05-28,53,23,Accepted,In favor of Yellevate
Spain,"8690-EEBEO",286008070,2021-02-26,2021-03-28,5345,2021-03-31,33,3,Accepted,In favor of Yellevate
France,"8389-TCXFQ",287254498,2020-01-22,2020-02-21,7249,2020-02-21,30,0,Accepted,In favor of Yellevate
France,"4640-FGEJI",6546750144,2020-02-06,2020-03-07,5460,2020-03-17,40,10,Disputed,In favor of Yellevate
France,"6048-QPZCF",882058462,2020-02-08,2020-03-09,8644,2020-03-01,22,0,Disputed,In favor of Yellevate
United States,"7758-WKLVM",298536056,2021-03-12,2021-04-11,7085,2021-05-06,55,25,Disputed,In favor of Yellevate
Spain,"6177-VTITE",299012002,2021-11-29,2021-12-29,4197,2021-12-13,14,0,Accepted,In favor of Yellevate
United States,"7856-ODQFO",300108731,2021-11-30,2021-12-30,4971,2022-01-06,37,7,Disputed,In favor of Yellevate
China,"5196-TWQXF",302496633,2020-07-04,2020-08-03,7265,2020-07-26,22,0,Accepted,In favor of Yellevate
France,"6048-QPZCF",308536412,2020-11-25,2020-12-25,7373,2020-12-01,6,0,Accepted,In favor of Yellevate
France,"7600-OISKG",700683520,2020-02-11,2020-03-12,6567,2020-03-12,30,0,Disputed,In favor of Yellevate
France,"5284-DJOZO",320318018,2021-03-23,2021-04-22,8071,2021-03-24,1,0,Accepted,In favor of Yellevate
France,"4632-QZOKX",7043574740,2020-02-14,2020-03-15,8342,2020-03-20,35,5,Disputed,In favor of Yellevate
Russia,"3568-JJMFW",326671411,2020-12-27,2021-01-26,8850,2021-01-18,22,0,Disputed,In favor of Yellevate
China,"7841-HROAQ",329307404,2020-08-02,2020-09-01,6853,2020-09-09,38,8,Disputed,In favor of Yellevate
Russia,"5613-UHVMG",333420180,2021-11-10,2021-12-10,6060,2021-12-12,32,2,Disputed,In favor of Yellevate
Russia,"3271-HYHDN",354407690,2021-04-12,2021-05-12,4556,2021-04-17,5,0,Accepted,In favor of Yellevate
United States,"2447-JCFGW",355095997,2020-12-12,2021-01-11,3138,2021-01-05,24,0,Accepted,In favor of Yellevate
China,"3598-DNURW",360452276,2020-01-30,2020-02-29,5637,2020-02-20,21,0,Accepted,In favor of Yellevate
Russia,"3271-HYHDN",367399005,2021-08-10,2021-09-09,5878,2021-08-10,0,0,Accepted,In favor of Yellevate
France,"4632-QZOKX",1294595544,2020-02-18,2020-03-19,7218,2020-04-04,46,16,Disputed,In favor of Customer
United States,"7050-KQLDO",371943035,2021-10-24,2021-11-23,7669,2021-11-15,22,0,Accepted,In favor of Yellevate
China,"5196-TWQXF",374328279,2021-07-08,2021-08-07,6000,2021-08-02,25,0,Accepted,In favor of Yellevate
United States,"7856-ODQFO",374625254,2021-04-03,2021-05-03,3782,2021-04-25,22,0,Accepted,In favor of Yellevate
Spain,"9250-VHLWY",374628242,2021-05-09,2021-06-08,2993,2021-05-28,19,0,Accepted,In favor of Yellevate
China,"2125-HJDLA",380292674,2021-03-02,2021-04-01,2683,2021-04-10,39,9,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",381841466,2021-11-12,2021-12-12,3295,2021-11-15,3,0,Accepted,In favor of Yellevate
China,"2820-XGXSB",385813290,2020-05-07,2020-06-06,7390,2020-05-08,1,0,Accepted,In favor of Yellevate
United States,"6077-FDQRK",387380707,2020-08-20,2020-09-19,6295,2020-09-15,26,0,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",391669562,2020-08-08,2020-09-07,7198,2020-09-04,27,0,Disputed,In favor of Yellevate
France,"7245-CKNCN",401983784,2021-08-17,2021-09-16,5160,2021-09-04,18,0,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",420999665,2021-04-21,2021-05-21,3412,2021-05-10,19,0,Disputed,In favor of Yellevate
China,"3598-DNURW",423629217,2020-08-09,2020-09-08,5734,2020-09-03,25,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",428154463,2020-05-03,2020-06-02,3951,2020-05-21,18,0,Accepted,In favor of Yellevate
China,"6708-DPYTF",428957919,2020-02-13,2020-03-14,8674,2020-03-30,46,16,Accepted,In favor of Yellevate
France,"4651-PMEXQ",449356610,2021-01-04,2021-02-03,7746,2021-01-24,20,0,Accepted,In favor of Yellevate
China,"5529-TBPGK",451448142,2020-11-20,2020-12-20,5581,2020-12-15,25,0,Accepted,In favor of Yellevate
France,"7245-CKNCN",472551457,2021-07-20,2021-08-19,6628,2021-08-04,15,0,Accepted,In favor of Yellevate
China,"0379-NEVHP",476918544,2021-02-14,2021-03-16,5521,2021-03-03,17,0,Accepted,In favor of Yellevate
China,"9014-WENVB",479534953,2021-04-13,2021-05-13,6583,2021-06-02,50,20,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",485064626,2020-10-06,2020-11-05,8031,2020-11-13,38,8,Accepted,In favor of Yellevate
United States,"7856-ODQFO",488925270,2021-05-18,2021-06-17,4054,2021-06-07,20,0,Accepted,In favor of Yellevate
United States,"0706-NRGUP",489697015,2020-04-16,2020-05-16,4144,2020-05-22,36,6,Accepted,In favor of Yellevate
United States,"6831-FIODB",490252754,2021-05-08,2021-06-07,3629,2021-06-14,37,7,Accepted,In favor of Yellevate
United States,"2687-XWAMA",493580936,2020-06-17,2020-07-17,6022,2020-07-24,37,7,Disputed,In favor of Yellevate
China,"9212-BTDMX",496849530,2021-06-02,2021-07-02,5971,2021-06-16,14,0,Accepted,In favor of Yellevate
Spain,"6296-UKEUZ",497305913,2020-11-07,2020-12-07,5474,2020-11-29,22,0,Disputed,In favor of Yellevate
France,"3448-OWJOT",5902046936,2020-02-19,2020-03-20,7494,2020-03-28,38,8,Disputed,In favor of Customer
Spain,"1408-OQZUE",500975230,2021-04-18,2021-05-18,3781,2021-05-23,35,5,Accepted,In favor of Yellevate
Spain,"6177-VTITE",511851896,2020-12-26,2021-01-25,827,2021-01-06,11,0,Accepted,In favor of Yellevate
China,"8156-PCYBM",512194602,2020-03-28,2020-04-27,6440,2020-04-28,31,1,Accepted,In favor of Yellevate
United States,"0465-DTULQ",514496777,2020-09-14,2020-10-14,3286,2020-10-17,33,3,Accepted,In favor of Yellevate
United States,"7228-LEPPM",519700354,2020-03-09,2020-04-08,3217,2020-04-18,40,10,Accepted,In favor of Yellevate
Spain,"9883-SDWFS",523612895,2020-04-17,2020-05-17,2877,2020-05-24,37,7,Accepted,In favor of Yellevate
China,"6632-CGYHU",524611481,2020-10-05,2020-11-04,5786,2020-10-23,18,0,Accepted,In favor of Yellevate
France,"5573-KSOIA",524798729,2021-10-19,2021-11-18,5778,2021-11-16,28,0,Accepted,In favor of Yellevate
France,"5164-VMYWJ",528993923,2021-02-22,2021-03-24,9022,2021-03-14,20,0,Accepted,In favor of Yellevate
China,"6160-HCSFI",533597326,2020-08-20,2020-09-19,6549,2020-09-12,23,0,Accepted,In favor of Yellevate
China,"5529-TBPGK",535335924,2020-07-10,2020-08-09,5788,2020-08-21,42,12,Accepted,In favor of Yellevate
China,"2676-DZINU",535641538,2020-04-26,2020-05-26,6501,2020-05-18,22,0,Accepted,In favor of Yellevate
France,"2621-XCLEH",537837854,2020-02-21,2020-03-22,7951,2020-04-07,46,16,Accepted,In favor of Yellevate
France,"8389-TCXFQ",540061441,2021-01-30,2021-03-01,8550,2021-02-13,14,0,Accepted,In favor of Yellevate
Spain,"6177-VTITE",540659475,2021-02-05,2021-03-07,3933,2021-03-06,29,0,Disputed,In favor of Yellevate
United States,"7050-KQLDO",552732928,2021-06-16,2021-07-16,6226,2021-07-03,17,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",6321822878,2020-02-20,2020-03-21,5919,2020-03-20,29,0,Disputed,In favor of Yellevate
United States,"4460-ZXNDN",557941160,2021-09-01,2021-10-01,7377,2021-10-16,45,15,Disputed,In favor of Yellevate
Russia,"8887-NCUZC",561711596,2021-04-16,2021-05-16,3738,2021-05-21,35,5,Disputed,In favor of Customer
Russia,"5875-VZQCZ",565497922,2020-10-30,2020-11-29,6080,2020-11-24,25,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",572625167,2021-05-24,2021-06-23,10298,2021-06-25,32,2,Accepted,In favor of Yellevate
France,"4640-FGEJI",572998733,2020-04-19,2020-05-19,7002,2020-05-21,32,2,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",578091983,2020-12-13,2021-01-12,3609,2021-01-30,48,18,Accepted,In favor of Yellevate
Spain,"9883-SDWFS",586870094,2020-03-29,2020-04-28,1494,2020-05-13,45,15,Disputed,In favor of Customer
China,"5529-TBPGK",588467684,2021-03-12,2021-04-11,4663,2021-04-11,30,0,Accepted,In favor of Yellevate
China,"0709-LZRJV",598324396,2020-07-07,2020-08-06,1092,2020-08-16,40,10,Accepted,In favor of Yellevate
Russia,"8887-NCUZC",601440262,2020-05-30,2020-06-29,4276,2020-07-09,40,10,Disputed,In favor of Yellevate
China,"9841-XLGBV",601606458,2020-10-25,2020-11-24,5097,2020-11-16,22,0,Accepted,In favor of Yellevate
China,"9212-BTDMX",604769805,2021-02-21,2021-03-23,7359,2021-03-01,8,0,Accepted,In favor of Yellevate
United States,"9928-IJYBQ",606876865,2021-03-09,2021-04-08,4661,2021-04-16,38,8,Accepted,In favor of Yellevate
France,"4092-ZAVRG",607578995,2020-09-28,2020-10-28,6014,2020-10-04,6,0,Accepted,In favor of Yellevate
China,"2820-XGXSB",608187073,2021-05-25,2021-06-24,5609,2021-05-28,3,0,Accepted,In favor of Yellevate
China,"0709-LZRJV",608905626,2020-09-27,2020-10-27,6107,2020-10-23,26,0,Accepted,In favor of Yellevate
France,"4640-FGEJI",613092852,2021-03-07,2021-04-06,9034,2021-04-08,32,2,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",617172736,2021-04-03,2021-05-03,7779,2021-05-03,30,0,Disputed,In favor of Yellevate
Russia,"6627-ELFBK",620329407,2021-02-15,2021-03-17,7650,2021-04-01,45,15,Disputed,In favor of Yellevate
France,"7938-EVASK",624274413,2021-08-14,2021-09-13,4409,2021-09-24,41,11,Accepted,In favor of Yellevate
United States,"2447-JCFGW",627613977,2020-04-06,2020-05-06,3567,2020-05-03,27,0,Accepted,In favor of Yellevate
Spain,"7654-DOLHO",631345640,2021-09-19,2021-10-19,2362,2021-10-13,24,0,Accepted,In favor of Yellevate
United States,"9149-MATVB",633253847,2021-04-01,2021-05-01,5095,2021-04-25,24,0,Accepted,In favor of Yellevate
United States,"9149-MATVB",640587193,2020-12-24,2021-01-23,6418,2021-01-18,25,0,Accepted,In favor of Yellevate
France,"4651-PMEXQ",641122100,2020-11-03,2020-12-03,4901,2020-11-28,25,0,Accepted,In favor of Yellevate
China,"1080-NDGAE",641300165,2021-09-12,2021-10-12,9457,2021-10-14,32,2,Disputed,In favor of Yellevate
Russia,"8887-NCUZC",641436694,2021-02-11,2021-03-13,2637,2021-03-04,21,0,Accepted,In favor of Yellevate
China,"7841-HROAQ",642684114,2020-06-20,2020-07-20,6336,2020-07-08,18,0,Accepted,In favor of Yellevate
China,"2125-HJDLA",645045061,2020-10-26,2020-11-25,4318,2020-11-24,29,0,Accepted,In favor of Yellevate
China,"6160-HCSFI",647569317,2021-10-20,2021-11-19,9257,2021-11-01,12,0,Accepted,In favor of Yellevate
Russia,"8887-NCUZC",649688883,2021-11-03,2021-12-03,5214,2021-11-28,25,0,Accepted,In favor of Yellevate
China,"5920-DPXLN",649771974,2021-04-26,2021-05-26,6835,2021-05-07,11,0,Accepted,In favor of Yellevate
Russia,"8364-UWVLM",658936368,2021-05-17,2021-06-16,6982,2021-06-03,17,0,Accepted,In favor of Yellevate
France,"4632-QZOKX",8664445095,2020-02-21,2020-03-22,7619,2020-04-03,42,12,Disputed,In favor of Yellevate
Russia,"8102-ABPKQ",666874152,2020-08-18,2020-09-17,5738,2020-09-29,42,12,Disputed,In favor of Yellevate
China,"2125-HJDLA",672948510,2020-11-09,2020-12-09,5737,2020-12-05,26,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",674518601,2020-07-28,2020-08-27,9442,2020-08-18,21,0,Accepted,In favor of Yellevate
Russia,"1604-LIFKX",676551273,2020-10-13,2020-11-12,8274,2020-12-01,49,19,Accepted,In favor of Yellevate
United States,"7260-ZHAKS",678458928,2020-08-21,2020-09-20,6774,2020-09-07,17,0,Accepted,In favor of Yellevate
United States,"2026-XLBER",679404840,2021-10-07,2021-11-06,4973,2021-10-17,10,0,Accepted,In favor of Yellevate
Russia,"9181-HEKGV",681101344,2020-08-27,2020-09-26,8506,2020-09-22,26,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",1839518389,2020-02-24,2020-03-25,4476,2020-03-26,31,1,Disputed,In favor of Yellevate
United States,"9928-IJYBQ",684720070,2020-04-03,2020-05-03,6625,2020-05-15,42,12,Disputed,In favor of Yellevate
France,"6048-QPZCF",6114978639,2020-02-24,2020-03-25,7276,2020-03-19,24,0,Disputed,In favor of Yellevate
Russia,"9181-HEKGV",689403769,2021-09-29,2021-10-29,7609,2021-11-11,43,13,Disputed,In favor of Yellevate
France,"4632-QZOKX",3840426166,2020-02-27,2020-03-28,7089,2020-04-13,46,16,Disputed,In favor of Yellevate
China,"8820-BLYDZ",703104577,2021-03-31,2021-04-30,7349,2021-04-02,2,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",704405155,2020-04-28,2020-05-28,6734,2020-05-15,17,0,Accepted,In favor of Yellevate
France,"1447-YZKCL",705084741,2021-05-02,2021-06-01,5639,2021-05-28,26,0,Accepted,In favor of Yellevate
France,"6048-QPZCF",6198121107,2020-03-04,2020-04-03,6249,2020-04-04,31,1,Disputed,In favor of Yellevate
Spain,"3271-YDPUJ",725765758,2020-04-08,2020-05-08,7671,2020-05-25,47,17,Disputed,In favor of Yellevate
United States,"6831-FIODB",726197794,2021-04-11,2021-05-11,4194,2021-05-22,41,11,Disputed,In favor of Yellevate
Russia,"8102-ABPKQ",728378151,2021-06-25,2021-07-25,8068,2021-08-08,44,14,Disputed,In favor of Yellevate
Russia,"6004-KITZM",733170200,2020-12-09,2021-01-08,7171,2020-12-29,20,0,Accepted,In favor of Yellevate
Spain,"1408-OQZUE",739678368,2021-07-04,2021-08-03,4236,2021-08-06,33,3,Accepted,In favor of Yellevate
Spain,"8690-EEBEO",744801013,2021-03-01,2021-03-31,6104,2021-04-07,37,7,Accepted,In favor of Yellevate
China,"9212-BTDMX",744808791,2020-12-13,2021-01-12,5391,2020-12-28,15,0,Accepted,In favor of Yellevate
United States,"0625-TNJFG",748230672,2021-05-11,2021-06-10,5301,2021-06-05,25,0,Accepted,In favor of Yellevate
United States,"6831-FIODB",750411142,2020-11-27,2020-12-27,5971,2020-12-29,32,2,Accepted,In favor of Yellevate
France,"5284-DJOZO",750477087,2020-10-24,2020-11-23,9488,2020-10-26,2,0,Accepted,In favor of Yellevate
United States,"5592-UQXSS",755429128,2021-10-06,2021-11-05,4312,2021-11-10,35,5,Disputed,In favor of Yellevate
